Row.names,sample_id,Compartment,Date,Treatment,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26,Axis.27,Axis.28,Axis.29,Axis.30,Axis.31,Axis.32,Axis.33,Axis.34,Axis.35,Axis.36,Axis.37,Axis.38,Axis.39,Axis.40,Axis.41,Axis.42,Axis.43,Axis.44,Axis.45,Axis.46,Axis.47
1,C1_BULK_0723,Bulk,Date1,Control,-0.033991982,0.145687473,-0.031686625,0.011655396,0.020374059,0.018279722,-0.002464973,-0.001312849,0.029832182,0.011611869,0.009577314,0.016351377,0.00648992,-0.037529935,0.006994341,-0.019117028,0.007640097,0.047588433,-0.019068553,0.010948398,0.013072009,0.018821021,-0.015907433,-0.029084642,0.002048405,-0.005950554,0.001579316,0.006038693,-0.002860434,-0.008669148,0.032484647,0.00834039,0.068002271,0.096136398,0.0288663,-0.015180897,0.039806839,0.035733257,-0.007252941,0.011433495,-0.000687703,-0.024152239,0.003925691,-0.007503084,-0.00157347,-0.012310378,0.001450734
10,C3_BULK_0905,Bulk,Date2,Control,0.60692322,-0.159183518,-0.413950056,0.132336057,0.01099851,-0.003959296,-0.003187716,-0.008329049,0.000914656,-0.003020772,-0.005756294,0.00195212,-0.000800443,-0.00309122,-0.000237404,0.003882453,-0.000874463,-0.001375775,0.001064853,-0.002186553,0.003230426,-0.000806991,-0.000916671,0.001190763,0.000970794,0.001456472,0.001079264,-0.001714708,-0.000478504,0.001532235,0.003334437,-0.002355268,0.001350498,0.000862797,-0.000191811,0.002107251,0.000123364,-0.001218349,-0.000849636,0.000583788,-0.001060306,0.000729997,-0.000521079,-0.0006574,0.000352489,0.000996757,-0.00026422
11,C3_RHI_0723,Rhizo,Date1,Control,-0.064077534,-0.060280126,-0.048972442,-0.074935236,-0.03773512,-0.023395007,0.022001763,-0.008657522,0.049068045,0.037556292,0.007929246,0.028980631,-0.025554579,-0.038713919,0.040432202,0.061667838,0.011969374,0.011406409,-0.028748193,0.053254383,0.006329421,0.003815094,0.001125676,0.005646613,-0.038157282,0.044479597,0.009208018,-0.021919933,-0.002745733,0.022545732,-0.034551048,0.047271872,-0.06237012,0.018188956,0.007647337,-0.021327589,-0.006709389,0.002574862,0.025401743,0.001935147,0.029511213,-0.025202421,0.002241156,-0.020518263,-0.017204142,-0.000995728,0.009795297
12,C3_RHI_0905,Rhizo,Date2,Control,-0.06485955,-0.107068413,0.051084694,0.071998488,0.052268309,0.066523193,-0.007119248,0.045647948,0.012946647,0.009694402,-0.046936029,-0.053530048,-0.006195022,0.026206183,0.052159569,0.015319954,-0.044649158,0.018361095,-0.010441311,-0.058557563,-0.033860678,0.028479178,0.010157262,-0.023659759,-0.025516358,0.015189978,-0.021561189,0.00739489,-0.01753684,0.000331396,-0.02517014,0.025879011,0.000594591,0.003199373,-0.006216043,-0.014405702,0.055948674,-0.010302116,0.02012867,-0.005596071,-0.009350759,0.032170936,0.02387553,0.004282752,-0.007046341,0.032368542,0.023998193
13,C4_BULK_0723,Bulk,Date1,Control,-0.033397437,0.14700042,-0.038272655,0.024133665,0.003779119,0.101005737,-0.011046319,0.047083332,-0.015791994,0.052128479,-0.021434782,-0.033816513,-0.013100052,-0.005600168,-0.009095059,0.009853943,-0.075912004,0.01676257,0.029102007,0.048619905,-0.024034398,-0.001479761,0.026390411,0.017101014,-0.016836703,0.01797223,0.029812847,0.029316182,0.019572726,-0.009011854,0.013461223,0.009572133,0.007978912,-0.001287685,-0.025863505,0.023508911,-0.049974263,0.021857989,0.014401942,0.015300992,0.013255895,0.01026019,0.027271762,0.000856352,0.026840616,-0.023571541,-0.023206585
14,C4_BULK_0905,Bulk,Date2,Control,0.351433144,-0.053204323,0.146973149,-0.126635729,-0.025057346,0.161280497,-0.043159566,-0.153379265,0.04331705,-0.019586124,0.016792638,-0.048143739,-0.00544561,-0.001594327,-0.004743407,-0.001093194,-0.004514113,-0.004899329,0.004095995,-0.001284019,0.020181385,-0.000162982,-0.001296771,-0.001287211,0.002651245,-0.00126885,0.005793386,0.003355847,-0.007251808,0.000816845,0.001254799,0.000780592,-0.005546256,-0.00350361,0.004473097,-0.00017919,0.00562614,-0.002503811,-0.011098506,0.000350408,-5.37E-05,0.000978949,-0.004380037,-0.008682715,-0.004222213,-0.003316213,-0.00301429
15,C4_RHI_0723,Rhizo,Date1,Control,-0.110019697,-0.097576555,-0.047271376,-0.073813721,0.023202314,-0.008429938,0.037348175,0.009362576,0.016929862,-0.04094165,0.03928105,0.019254879,-0.022720715,-0.059182978,-0.038482918,0.027591212,-0.068724213,0.012541828,-0.034021615,-0.008699793,-0.019645787,-0.010820394,0.000644165,0.006480553,0.016116423,0.021826513,0.02565666,-0.042068286,-0.007654194,-0.04106948,-0.014757369,0.025315889,0.020279123,-0.022572517,0.014699029,-0.008766215,0.002889048,0.017547064,-0.032156913,-0.023800504,-0.040850879,0.024191549,-0.019140654,0.03462454,-0.009407799,-0.005082759,-0.025194584
16,C4_RHI_0905,Rhizo,Date2,Control,-0.018431186,-0.070893949,0.071798929,0.083304133,0.026793881,0.032290046,-0.035479735,-0.004739808,0.010096505,-0.015276946,0.017251905,0.040562081,0.008910291,-0.028180739,0.013366158,-0.022718076,0.030956937,-0.0499132,-0.006810961,0.012646082,-0.064165269,0.048740128,-0.060029845,-0.001228251,0.010087068,0.026789016,-0.005436376,0.03345484,0.043550317,-0.002899902,-0.008658757,-0.003395639,0.007707476,-0.017133461,0.036154468,-0.016081135,-0.01656071,0.009027107,0.016100577,0.01942012,0.020078609,-0.005261887,-0.005928,0.018227759,0.002283051,0.036369538,-0.041464471
17,C5_BULK_0723,Bulk,Date1,Control,-0.08146801,0.03482081,-0.037444769,-0.012699772,0.019157921,0.000791609,0.007431983,-0.030396071,0.008239413,0.073167192,0.013021968,0.009727254,0.000981198,-0.010579801,0.023271337,0.01635448,-0.007322445,0.018306414,0.007909316,-0.025560072,-0.003157034,-0.026454068,-0.014536185,0.017337606,-0.02280255,-0.036587534,-0.038961594,-0.007279652,-0.02154255,-0.030165286,-0.039238793,-0.029975236,-0.015069629,0.014692802,-0.008570175,0.009560052,-0.01846729,-0.00655422,-0.047994617,0.07081956,0.005606417,-0.007892628,-0.024822131,0.036902385,0.024504339,0.028944102,0.008993603
18,C5_BULK_0905,Bulk,Date2,Control,0.402357041,0.048658593,0.139356111,-0.147851299,0.036491978,-0.033232491,-0.023387292,0.065690948,0.032079928,-0.016932881,-0.133460085,0.093322345,0.018473249,-0.009358844,-0.00714411,0.028222481,-0.007163442,-0.002731124,0.001099565,-0.002609741,-0.009539685,-0.005530672,0.00238105,0.0051101,0.011280514,-0.005401176,-0.010463352,0.00457534,0.004342921,0.001046814,-0.000591105,-0.015312935,0.00637019,0.006831608,-0.008765253,-0.002017733,-0.010372607,-0.001353221,0.001749653,0.001715061,-0.010068475,0.001109028,0.004221279,0.008983678,0.001525723,0.001107497,0.006669583
