OTU,Sample,Abundance,Compartment,Date,Treatment,Domain,Phylum,Class,Order,Family,Genus,Species
OTU_175,C3_BULK_0905,31.04581878,Bulk,20190905,Control,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unclassified
OTU_234,C3_BULK_0905,20.69036367,Bulk,20190905,Control,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Unclassified
OTU_336,C3_BULK_0905,17.79330183,Bulk,20190905,Control,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Unclassified
OTU_1,N5_RHI_0723,17.17411121,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C2_RHI_0723,16.62348017,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N3_RHI_0723,16.14259598,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N4_RHI_0723,15.80918589,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N2_RHI_0723,15.67206864,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C6_RHI_0723,15.54896142,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C1_RHI_0723,15.4468337,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N6_BULK_0905,15.32773781,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C6_RHI_0723,15.3115727,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N1_RHI_0723,15.23034154,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N5_BULK_0723,15.18011944,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N6_BULK_0723,15.13243193,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N6_RHI_0723,15.02229114,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C5_RHI_0723,14.82662415,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N6_RHI_0723,14.80907153,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C1_RHI_0905,14.46965052,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C1_BULK_0905,14.26836673,Bulk,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N4_BULK_0905,14.14362443,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N2_BULK_0905,14.10622501,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N3_RHI_0905,13.94762367,Rhizosphere,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C5_BULK_0723,13.93182719,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C3_RHI_0723,13.90288132,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C2_BULK_0905,13.86603995,Bulk,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N4_BULK_0723,13.70490552,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C4_RHI_0723,13.661096,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N5_RHI_0723,13.60072926,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C4_BULK_0723,13.39071257,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C4_RHI_0905,13.35877863,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C3_RHI_0905,13.2565445,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N3_BULK_0723,13.24826421,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N5_BULK_0905,13.23974082,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N3_BULK_0905,13.19975212,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C1_BULK_0723,13.19736053,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C4_RHI_0723,13.11698407,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N1_BULK_0723,13.08860273,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C6_BULK_0723,13.01763424,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C5_RHI_0905,13.00353357,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N2_RHI_0905,12.95065458,Rhizosphere,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C5_RHI_0723,12.77401355,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N2_BULK_0723,12.75167785,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N6_RHI_0905,12.67774885,Rhizosphere,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C6_RHI_0905,12.58741259,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C3_BULK_0723,12.35450276,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N3_RHI_0723,12.21206581,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N5_RHI_0905,12.03761755,Rhizosphere,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C6_BULK_0905,11.85448463,Bulk,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C2_RHI_0905,11.64725458,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N1_BULK_0905,11.31091999,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,N1_RHI_0905,11.21908127,Rhizosphere,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N2_RHI_0723,10.92469018,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C3_RHI_0723,10.69917389,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C1_RHI_0723,10.69244427,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C2_BULK_0723,10.18821604,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N1_RHI_0723,9.769658459,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C2_RHI_0723,9.607335061,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C5_BULK_0723,9.512485137,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C3_RHI_0905,9.465968586,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N4_BULK_0905,9.429082952,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N6_BULK_0905,9.072741807,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N6_BULK_0723,8.797925542,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N3_BULK_0723,8.51942203,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C6_RHI_0905,8.412799322,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N5_BULK_0905,8.358531317,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N3_BULK_0905,8.304069407,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N5_BULK_0723,8.264303602,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_1,C4_BULK_0905,8.117958913,Bulk,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C4_BULK_0723,7.866293034,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N2_RHI_0905,7.794561934,Rhizosphere,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N1_BULK_0723,7.687872381,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N4_RHI_0723,7.668046521,Rhizosphere,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,N1_BULK_0905,7.531925984,Bulk,20190905,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C1_BULK_0723,7.23855229,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_13096,C4_RHI_0723,7.228915663,Rhizosphere,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C1_BULK_0905,7.225258045,Bulk,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C3_BULK_0723,7.065550337,Bulk,20190723,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_333,C3_BULK_0905,7.026915965,Bulk,20190905,Control,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Unclassified
OTU_2,N4_BULK_0723,6.966978431,Bulk,20190723,Treatment,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
OTU_2,C4_RHI_0905,6.95504665,Rhizosphere,20190905,Control,Archaea,Thaumarchaeota,Unclassified,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unclassified
